year0,dest_reg,origien_reg,flow
16,MANAGER,MANAGER,1.677938064
17,MANAGER,MANAGER,1.583552713
18,MANAGER,MANAGER,1.045556405
19,MANAGER,MANAGER,0.4550129
20,MANAGER,MANAGER,0.19957051
21,MANAGER,MANAGER,0.122163515
22,MANAGER,MANAGER,0.057484396
23,MANAGER,MANAGER,0.021515032
0,MANAGER,DIRIGEANT,0.002544108
1,MANAGER,DIRIGEANT,0
2,MANAGER,DIRIGEANT,0
3,MANAGER,DIRIGEANT,0
4,MANAGER,DIRIGEANT,0
5,MANAGER,DIRIGEANT,0.000168011
6,MANAGER,DIRIGEANT,0.001540678
7,MANAGER,DIRIGEANT,0.02262931
8,MANAGER,DIRIGEANT,0.1460643
9,MANAGER,DIRIGEANT,0.181769868
10,MANAGER,DIRIGEANT,0.198197457
11,MANAGER,DIRIGEANT,0.17493743
12,MANAGER,DIRIGEANT,0.139668691
13,MANAGER,DIRIGEANT,0.117352614
14,MANAGER,DIRIGEANT,0.18608871
15,MANAGER,DIRIGEANT,0.162758389
16,MANAGER,DIRIGEANT,0.170126143
17,MANAGER,DIRIGEANT,0.179337381
18,MANAGER,DIRIGEANT,0.162437817
19,MANAGER,DIRIGEANT,0.125383914
20,MANAGER,DIRIGEANT,0.055241935
21,MANAGER,DIRIGEANT,0.03301701
22,MANAGER,DIRIGEANT,0.018564609
23,MANAGER,DIRIGEANT,0.008102753
0,DIRIGEANT ,COLLABORATEUR,0.001960784
1,DIRIGEANT ,COLLABORATEUR,0.000980392
2,DIRIGEANT ,COLLABORATEUR,0.001111111
3,DIRIGEANT ,COLLABORATEUR,0
4,DIRIGEANT ,COLLABORATEUR,0.000980392
5,DIRIGEANT ,COLLABORATEUR,0.059477124
6,DIRIGEANT ,COLLABORATEUR,0.322222222
7,DIRIGEANT ,COLLABORATEUR,0.372058824
8,DIRIGEANT ,COLLABORATEUR,1.071405229
9,DIRIGEANT ,COLLABORATEUR,1.670882353
10,DIRIGEANT ,COLLABORATEUR,1.784869281
11,DIRIGEANT ,COLLABORATEUR,1.697385621
12,DIRIGEANT ,COLLABORATEUR,1.184803922
13,DIRIGEANT ,COLLABORATEUR,1.010228758
14,DIRIGEANT ,COLLABORATEUR,1.700588235
15,DIRIGEANT ,COLLABORATEUR,1.74869281
16,DIRIGEANT ,COLLABORATEUR,1.784183007
17,DIRIGEANT ,COLLABORATEUR,1.622352941
18,DIRIGEANT ,COLLABORATEUR,1.25127451
19,DIRIGEANT ,COLLABORATEUR,0.729575163
20,DIRIGEANT ,COLLABORATEUR,0.263627451
21,DIRIGEANT ,COLLABORATEUR,0.083137255
22,DIRIGEANT ,COLLABORATEUR,0.04369281
23,DIRIGEANT ,COLLABORATEUR,0.01251634
0,DIRIGEANT ,MANAGER,0.003071895
1,DIRIGEANT ,MANAGER,0.001960784
